Error Message,Structure String
Invalid POSCAR format,"8
2.3
   5.5587952999999999    0.0000000000000000    0.0000000000000000
   0.0000000000000000    5.5587953000000001    0.0000000000000000
   0.0000000000000000    0.0000000000000000    7.1175905500000001
Ag O Ag Ag O Ag
8 2 8 2
 direct
   0.2500000000000000    0.2500000000000000    0.2500000000000000 Ag
   0.7500000000000000    0.2500000000000000    0.2500000000000000 Ag
   0.2500000000000000    0.7500000000000000    0.2500000000000000 Ag
   0.7500000000000000    0.7500000000000000    0.2500000000000000 Ag
   0.0000000000000000    0.2500000000000000    0.7500000000000000 Ag
   0.0000000000000000    0.7500000000000000    0.7500000000000000 Ag
   0.5000000000000000    0.0000000000000000    0.0000000000000000 O
   0.5000000000000000    0.0000000000000000    0.5000000000000000 O
   0.2500000000000000    0.7500000000000000    0.7500000000000000 O
   0.7500000000000000    0.2500000000000000    0.7500000000000000 O"
Invalid POSCAR format,"4
2.3
   5.2472914400000003    0.0000000000000000    0.0000000000000000
   0.0000000000000000    5.2472914400000001    0.0000000000000000
   0.0000000000000000    0.0000000000000000    3.5107379300000000
Ag O Ag O Ag
4 2 4 2
direct
   0.1399481200000000    0.3634890200000000    0.6381615000000000 Ag
   0.8600518800000000    0.6365109800000000    0.6381615000000000 Ag
   0.1399481200000000    0.3634890200000000    2.8318601000000000 Ag
   0.8600518800000000    0.6365109800000000    2.8318601000000000 Ag
   0.3262089300000000    0.7322003100000000    1.2290570000000000 O
   0.6737910700000000    0.2677996900000000    1.2290570000000000 O
   0.3481257000000000    0.5856294600000000    0.0052885000000000 Ag
   0.6518743000000000    0.4143705400000000    0.0052885000000000 Ag"
Invalid POSCAR format,"4
2.3
   5.9953800999999999    0.0000000000000000    0.0000000000000000
   0.0000000000000000    5.9953801000000001    0.0000000000000000
   0.0000000000000000    0.0000000000000000    5.9953801000000001
Ag O Ag O Ag O Ag
4 2 4 2 4 2
 direct
   0.2500000000000000    0.2500000000000000    0.2500000000000000 Ag
   0.7500000000000000    0.2500000000000000    0.2500000000000000 Ag
   0.5000000000000000    0.5000000000000000    0.5000000000000000 O
   0.0000000000000000    0.0000000000000000    0.5000000000000000 O
   0.7500000000000000    0.7500000000000000    0.5000000000000000 O"
Invalid POSCAR format,"Ag1 Ag2 Ag3 Ag4 Ag5 Ag6
1.0
   4.297710698311626    0.000000000000000    0.000000000000000
   2.148855349156313    4.295820275923829    0.000000000000000
   0.000000000000000    0.000000000000000    4.291485111352339
O1 O2
2 2
indirect
   0.000000000000000    0.000000000000000    0.000000000000000 O1
   0.000000000000000    0.000000000000000    4.291485111352339 O2
Ag1
   2.148855349156313    0.000000000000000    2.14583757567669
Ag2
   2.149523973641392    4.295820275923829    2.14583757567669
Ag3
   0.000000000000000    4.295820275923829    2.14583757567669
Ag4
   4.297710698311626    2.148855349156313    2.14583757567669
Ag5
   0.000000000000000    2.148855349156313    2.14583757567669
Ag6
   2.148855349156313    0.000000000000000    0.000000000000000"
Invalid POSCAR format,"Ag1 Ag2 Ag3 Ag4 Ag5 Ag6
1.0
   5.662419326776489    0.000000000000000    0.000000000000000
   2.881209663388245    4.509082224557126    0.000000000000000
   0.000000000000000    0.000000000000000    8.23385366823327
O1 O2
2 2
indirect
   0.000000000000000    0.000000000000000    0.000000000000000 O1
   0.000000000000000    0.000000000000000    8.23385366823327 O2
Ag1
   2.881209663388245    0.000000000000000    4.11692683411693
Ag2
   2.882577287872326    4.509082224557126    4.11692683411693
Ag3
   0.000000000000000    4.509082224557126    4.11692683411693
Ag4
   5.662419326776489    2.881209663388245    4.11692683411693
Ag5
   0.000000000000000    2.881209663388245    4.11692683411693
Ag6
   2.881209663388245    0.000000000000000    0.000000000000000"
Invalid POSCAR format,"Ag1 Ag2 Ag3 Ag4 Ag5 Ag6
1.0
   5.475444687911288    0.000000000000000    0.000000000000000
   2.737722343955644    4.577935158143954    0.000000000000000
   0.000000000000000    0.000000000000000    4.333762544977622
O1 O2
2 2
indirect
   0.000000000000000    0.000000000000000    0.000000000000000 O1
   0.000000000000000    0.000000000000000    4.333762544977622 O2
Ag1
   2.737722343955644    0.000000000000000    2.166881272488861
Ag2
   2.739090968439725    4.577935158143954    2.166881272488861
Ag3
   0.000000000000000    4.577935158143954    2.166881272488861
Ag4
   5.475444687911288    2.737722343955644    2.166881272488861
Ag5
   0.000000000000000    2.737722343955644    2.166881272488861
Ag6
   2.737722343955644    0.000000000000000    0.000000000000000"
Invalid POSCAR format,"Ag1 Ag2 Ag3 Ag4 Ag5 Ag6
1.0
   6.000000000000000    0.000000000000000    0.000000000000000
   0.000000000000000    6.000000000000000    0.000000000000000
   0.000000000000000    0.000000000000000    6.000000000000000
O1 O2
2 2
indirect
   0.000000000000000    0.000000000000000    0.000000000000000 O1
   0.000000000000000    0.000000000000000    6.000000000000000 O2
Ag1
   0.000000000000000    0.000000000000000    3.000000000000000
Ag2
   3.000000000000000    0.000000000000000    3.000000000000000
Ag3
   3.000000000000000    3.000000000000000    3.000000000000000
Ag4
   3.000000000000000    3.000000000000000    0.000000000000000
Ag5
   0.000000000000000    3.000000000000000    3.000000000000000
Ag6
   3.000000000000000    0.000000000000000    3.000000000000000"
Invalid POSCAR format,"Ag1 Ag2 Ag3 Ag4 Ag5 Ag6
1.0
   5.364172593112123    0.000000000000000    0.000000000000000
   2.682086296556061    4.392870824634844    0.000000000000000
   0.000000000000000    0.000000000000000    6.44890949934226
O1 O2
2 2
indirect
   0.000000000000000    0.000000000000000    0.000000000000000 O1
   0.000000000000000    0.000000000000000    6.44890949934226 O2
Ag1
   2.682086296556061    0.000000000000000    3.22445474967112
Ag2
   2.683454920040142    4.392870824634844    3.22445474967112
Ag3
   0.000000000000000    4.392870824634844    3.22445474967112
Ag4
   5.364172593112123    2.682086296556061    3.22445474967112
Ag5
   0.000000000000000    2.682086296556061    3.22445474967112
Ag6
   2.682086296556061    0.000000000000000    0.000000000000000"
Invalid POSCAR format,"Ag2 Ag2 Ag2 Ag2 O2
1.0
   7.5128256999999999   -0.0000000000000000    5.0115571000000000
   1.6614043499999999    7.5128256999999999    0.0000000000000000
   0.0000000000000000    1.6614043499999999   -5.0115571000000000
Ag Ag Ag Ag Ag O O
6 6 6 6 2 2
direct
   0.4593590000000000    0.0000000000000000    0.8321720000000000 Ag
   0.4593590000000000    0.5000000000000000    0.0000000000000000 Ag
   0.2301795000000000    0.5000000000000000    0.4160860000000000 Ag
   0.0000000000000000    0.0000000000000000    0.4160860000000000 Ag
   0.0000000000000000    0.0000000000000000   -0.5839140000000000 Ag
   0.2291795000000000   -0.5000000000000000    0.4160860000000000 Ag
   0.8598205000000000   -0.5000000000000000    0.4160860000000000 Ag
   0.0000000000000000   -0.0000000000000000    0.4160860000000000 Ag
   0.0000000000000000   -0.0000000000000000   -0.5839140000000000 Ag
   0.5000000000000000    0.0000000000000000    0.0000000000000000 O
   0.0000000000000000    0.5000000000000000    0.0000000000000000 O"
Invalid POSCAR format,"Ag2 Ag2 Ag2 O2
1.0
   9.2381057000000000    8.0146017000000000    5.2688990000000000
   9.2381057000000000    2.1924503500000000    5.2688990000000000
   1.5930433500000000    8.0146017000000000   -5.2688990000000000
Ag Ag Ag Ag Ag O O
6 6 6 6 2 2
direct
   0.4207330000000000    0.4218890000000000    0.2637080000000000 Ag
   0.2424140000000000    0.5884100000000000    0.6360410000000000 Ag
   0.0216510000000000    0.8559310000000000    0.6360410000000000 Ag
   0.4799860000000000    0.4218890000000000    0.6381880000000000 Ag
   0.4207330000000000    0.1921110000000000    0.8314420000000000 Ag
   0.2424140000000000   -0.1921110000000000    0.0595580000000000 Ag
   0.0216510000000000    0.4218890000000000    0.0595580000000000 Ag
   0.4799860000000000   -0.5884100000000000    0.1110260000000000 Ag
   0.0000000000000000    0.0000000000000000    0.0000000000000000 O
   0.0000000000000000    0.0000000000000000    0.0000000000000000 O"
Invalid POSCAR format,"Ag3 Ag3 O2
1.0
   6.5651117000000000    6.5651117000000000    4.3492723000000000
   0.0000000000000000    0.0000000000000000    4.3492723000000000
   3.2825558500000000    3.2825558500000000    0.0000000000000000
Ag Ag Ag Ag O O
6 6 6 2 2
direct
   0.4369840000000000    0.0000000000000000    0.3855250000000000 Ag
   0.4369840000000000    0.5000000000000000    0.3855250000000000 Ag
   0.0000000000000000    0.5000000000000000    0.3855250000000000 Ag
   0.2194920000000000    0.0000000000000000    0.1961250000000000 O
   0.7805080000000000    0.0000000000000000    0.8038750000000000 O"
Invalid POSCAR format,"Ag2 Ag2 Ag2 O2
1.0
   6.9282553000000000    6.9282553000000000    4.4567814000000000
   0.0000000000000000    0.0000000000000000    4.4567814000000000
   3.4641276500000000    3.4641276500000000    0.0000000000000000
Ag Ag Ag Ag O O
6 6 6 2 2
direct
   0.4583010000000000    0.0000000000000000    0.3369490000000000 Ag
   0.4583010000000000    0.5000000000000000    0.3369490000000000 Ag
   0.0000000000000000    0.5000000000000000    0.3369490000000000 Ag
   0.2291505000000000    0.0000000000000000    0.3088210000000000 O
   0.7708495000000000    0.0000000000000000    0.6911790000000000 O"
Invalid POSCAR format,"Ag1
5.0
  5.0000000000000000   0.0000000000000000   0.0000000000000000
  0.0000000000000000   5.0000000000000000   0.0000000000000000
  0.0000000000000000   0.0000000000000000   2.0000000000000000
Ag2 O1
4 2
direct
  0.2500000000000000   0.2500000000000000   0.2500000000000000 Ag
  0.2500000000000000   0.7500000000000000   0.7500000000000000 Ag
  0.7500000000000000   0.2500000000000000   0.2500000000000000 Ag
  0.7500000000000000   0.7500000000000000   0.7500000000000000 Ag
  0.2500000000000000   0.0000000000000000   0.5000000000000000 O
  0.7500000000000000   1.0000000000000000   1.0000000000000000 O
  0.0000000000000000   0.5000000000000000   0.0000000000000000 O
  0.0000000000000000   0.0000000000000000   1.0000000000000000 O"
Invalid POSCAR format,"Ag1
5.0
  5.0000000000000000   0.0000000000000000   0.0000000000000000
  0.0000000000000000   6.0000000000000000   0.0000000000000000
  0.0000000000000000   0.0000000000000000   3.0000000000000000
Ag2 O1
2 2
direct
  0.0000000000000000   0.0000000000000000   0.0000000000000000 Ag
  0.0000000000000000   0.5000000000000000   0.0000000000000000 Ag
  0.5000000000000000   0.0000000000000000   1.5000000000000000 O
  0.0000000000000000   0.5000000000000000   2.0000000000000000 O"
Invalid POSCAR format,"Ag1
4.0
  4.0000000000000000   0.0000000000000000   0.0000000000000000
  0.0000000000000000   4.0000000000000000   0.0000000000000000
  0.0000000000000000   0.0000000000000000   3.0000000000000000
Ag2 O1
2 2
direct
  0.0000000000000000   0.0000000000000000   0.0000000000000000 Ag
  0.5000000000000000   0.0000000000000000   0.0000000000000000 Ag
  0.0000000000000000   0.5000000000000000   0.7500000000000000 O
  0.5000000000000000   0.5000000000000000   1.2500000000000000 O"
Invalid POSCAR format,"Ag1
6.0
  6.0000000000000000   0.0000000000000000   0.0000000000000000
  0.0000000000000000   6.0000000000000000   0.0000000000000000
  0.0000000000000000   0.0000000000000000   4.0000000000000000
Ag2 O1
4 2
direct
  0.0000000000000000   0.0000000000000000   0.0000000000000000 Ag
  0.0000000000000000   0.5000000000000000   0.0000000000000000 Ag
  0.0000000000000000   0.0000000000000000   2.0000000000000000 O
  0.0000000000000000   0.0000000000000000   4.0000000000000000 O"
Invalid POSCAR format,"Ag1
7.0
  7.0000000000000000   0.0000000000000000   0.0000000000000000
  0.0000000000000000   7.0000000000000000   0.0000000000000000
  0.0000000000000000   0.0000000000000000   7.0000000000000000
Ag2 O1
4 2
direct
  0.0000000000000000   0.0000000000000000   0.0000000000000000 Ag
  0.0000000000000000   0.5000000000000000   0.0000000000000000 Ag
  0.0000000000000000   0.0000000000000000   3.5000000000000000 O
  0.0000000000000000   0.0000000000000000   4.5000000000000000 O"
Invalid POSCAR format,"6 1
 4.124  0.000  0.000
 0.000  4.124  0.000
 0.000  0.000  2.375
Ag O
6 2
direct
  0.500  0.000  0.000 Ag
  0.000  0.500  0.000 Ag
  0.000  0.000  0.500 Ag
  0.000  0.000  0.000 Ag
  0.500  0.500  0.000 Ag
  0.500  0.000  0.500 Ag
  0.250  0.250  0.000 O
  0.250  0.750  0.000 O
  0.750  0.250  0.000 O
  0.750  0.750  0.000 O
  0.000  0.000  0.250 O
  0.500  0.500  0.250 O"
Invalid POSCAR format,"2 1
 4.124  4.124  0.000
 0.000  0.000  2.375
 0.000  0.000  0.000
Ag O
2 1
direct
  0.000  0.000  0.000 Ag
  0.000  0.000  0.250 Ag
  0.500  0.500  0.000 O
  0.000  0.000  0.250 O"
Invalid POSCAR format,"2 1
 4.124  4.124  4.124
 0.000  0.000  0.000
 0.500  0.500  0.500
Ag O
1 1
direct
  0.000  0.000  0.000 Ag
  0.000  0.000  0.000 O"
Invalid POSCAR format,"2 1
 4.124  4.124  4.124
 0.000  0.000  0.000
 0.500  0.500  0.000
Ag O
1 1
direct
  0.000  0.000  0.000 Ag
  0.000  0.000  0.500 O"
Invalid POSCAR format,"2 1
 4.124  4.124  2.375
 0.000  0.000  0.000
 0.500  0.500  0.000
Ag O
2 1
direct
  0.000  0.000  0.000 Ag
  0.000  0.000  0.000 Ag
  0.500  0.000  0.000 O
  0.000  0.500  0.000 O"
Invalid POSCAR format,"4 1
 4.124  4.124  2.375
 0.000  0.000  0.000
 0.500  0.000  0.000
Ag O
2 1
direct
  0.000  0.000  0.000 Ag
  0.500  0.000  0.000 Ag
  0.250  0.250  0.000 O
  0.750  0.250  0.000 O"
